timestamp,interval,route,cars,cyclists,pedestrians,vans,buses,trucks,incoming_total,outgoing_total,vehicle_volume,net_traffic,dominant_class,day_of_week,hour,is_weekend,sensor_id
2025-01-01 00:00:00,5min,incoming,4,1,1,0,1,0,5,6,6,-1,cars,2,0,False,sensor_2
2025-01-01 00:05:00,1h,outgoing,0,0,0,0,0,0,0,0,0,0,cars,2,0,False,sensor_2
2025-01-01 00:10:00,15min,pedestrian,3,0,0,0,0,0,3,4,3,-1,cars,2,0,False,sensor_2
2025-01-01 00:15:00,5min,incoming,1,0,0,0,0,0,1,1,1,0,cars,2,0,False,sensor_1
2025-01-01 00:20:00,5min,outgoing,4,0,1,1,0,0,5,5,5,0,cars,2,0,False,sensor_1
2025-01-01 00:25:00,5min,pedestrian,0,0,0,0,0,0,0,0,0,0,cars,2,0,False,sensor_1
2025-01-01 00:30:00,5min,incoming,2,0,0,0,0,1,3,3,3,0,cars,2,0,False,sensor_2
2025-01-01 00:35:00,15min,incoming,4,0,0,0,1,0,5,6,5,-1,cars,2,0,False,sensor_1
2025-01-01 00:40:00,5min,incoming,1,0,1,0,0,0,1,0,1,1,cars,2,0,False,sensor_2
2025-01-01 00:45:00,15min,incoming,1,0,0,0,0,0,1,0,1,1,cars,2,0,False,sensor_1
2025-01-01 00:50:00,5min,incoming,2,0,0,0,0,0,2,2,2,0,cars,2,0,False,sensor_1
2025-01-01 00:55:00,1h,outgoing,6,1,1,0,0,0,4,6,7,-2,cars,2,0,False,sensor_1
2025-01-01 01:00:00,15min,incoming,3,0,0,0,0,0,3,3,3,0,cars,2,1,False,sensor_1
2025-01-01 01:05:00,5min,outgoing,4,2,0,0,0,0,4,4,6,0,cars,2,1,False,sensor_2
2025-01-01 01:10:00,5min,incoming,1,0,0,0,0,0,1,1,1,0,cars,2,1,False,sensor_1
2025-01-01 01:15:00,5min,outgoing,1,0,0,0,0,0,1,1,1,0,cars,2,1,False,sensor_1
2025-01-01 01:20:00,5min,incoming,4,1,2,0,0,0,4,2,5,2,cars,2,1,False,sensor_2
2025-01-01 01:25:00,5min,incoming,0,0,0,0,0,0,0,0,0,0,cars,2,1,False,sensor_2
2025-01-01 01:30:00,5min,incoming,2,0,1,0,0,0,2,1,2,1,cars,2,1,False,sensor_1
2025-01-01 01:35:00,5min,incoming,2,2,1,0,0,0,2,2,4,0,cars,2,1,False,sensor_1
2025-01-01 01:40:00,5min,incoming,5,0,0,0,0,0,5,3,5,2,cars,2,1,False,sensor_2
2025-01-01 01:45:00,5min,incoming,2,0,1,1,0,0,3,1,3,2,cars,2,1,False,sensor_2
2025-01-01 01:50:00,5min,pedestrian,3,1,1,0,0,1,3,5,5,-2,cars,2,1,False,sensor_1
2025-01-01 01:55:00,5min,outgoing,2,0,1,0,1,0,3,3,3,0,cars,2,1,False,sensor_2
2025-01-01 02:00:00,5min,outgoing,0,0,0,0,0,0,0,0,0,0,cars,2,2,False,sensor_2
2025-01-01 02:05:00,15min,incoming,0,0,0,1,0,0,1,0,1,1,vans,2,2,False,sensor_1
2025-01-01 02:10:00,5min,pedestrian,3,0,0,0,0,0,3,2,3,1,cars,2,2,False,sensor_1
2025-01-01 02:15:00,5min,incoming,3,0,1,1,0,0,4,4,4,0,cars,2,2,False,sensor_1
2025-01-01 02:20:00,5min,outgoing,0,0,0,0,0,0,0,0,0,0,cars,2,2,False,sensor_2
2025-01-01 02:25:00,5min,incoming,5,0,0,0,0,2,7,5,7,2,cars,2,2,False,sensor_1
2025-01-01 02:30:00,5min,outgoing,5,1,1,2,0,0,4,7,8,-3,cars,2,2,False,sensor_1
2025-01-01 02:35:00,5min,incoming,0,0,0,0,0,0,0,0,0,0,cars,2,2,False,sensor_1
2025-01-01 02:40:00,5min,incoming,5,1,3,0,0,0,5,6,6,-1,cars,2,2,False,sensor_2
2025-01-01 02:45:00,15min,incoming,2,0,1,0,0,1,3,1,3,2,cars,2,2,False,sensor_1
2025-01-01 02:50:00,1h,outgoing,3,0,2,0,0,0,3,3,3,0,cars,2,2,False,sensor_1
2025-01-01 02:55:00,15min,outgoing,1,1,0,0,0,0,1,1,2,0,cars,2,2,False,sensor_2
2025-01-01 03:00:00,5min,incoming,1,0,1,0,0,0,1,0,1,1,cars,2,3,False,sensor_2
2025-01-01 03:05:00,5min,incoming,3,0,1,0,0,1,4,5,4,-1,cars,2,3,False,sensor_1
2025-01-01 03:10:00,5min,incoming,1,0,0,0,0,0,1,1,1,0,cars,2,3,False,sensor_1
2025-01-01 03:15:00,5min,incoming,1,0,0,0,0,0,1,0,1,1,cars,2,3,False,sensor_1
2025-01-01 03:20:00,5min,incoming,2,0,0,0,1,0,3,3,3,0,cars,2,3,False,sensor_2
2025-01-01 03:25:00,5min,outgoing,4,0,0,1,1,1,4,7,7,-3,cars,2,3,False,sensor_1
2025-01-01 03:30:00,5min,incoming,2,0,0,0,0,0,2,2,2,0,cars,2,3,False,sensor_1
2025-01-01 03:35:00,15min,outgoing,0,0,0,0,0,0,0,0,0,0,cars,2,3,False,sensor_2
2025-01-01 03:40:00,5min,incoming,1,0,0,0,0,0,1,1,1,0,cars,2,3,False,sensor_2
2025-01-01 03:45:00,5min,pedestrian,5,0,3,1,0,0,7,5,6,2,cars,2,3,False,sensor_1
